chain,project,symbol,tvlUsd,apyBase,apyReward,apy,rewardTokens,pool,apyPct1D,apyPct7D,apyPct30D,stablecoin,ilRisk,exposure,predictions,poolMeta,mu,sigma,count,outlier,underlyingTokens,il7d,apyBase7d,apyMean30d,volumeUsd1d,volumeUsd7d,apyBaseInception
Ethereum,pendle,REUSDE,4659242,12.92105,1.90161,14.82266,['0x808507121b80c02388fad14726482e061b8da827'],701b8025-5a56-43c0-ac68-ebebc05aae0e,-0.06575,-1.02462,-5.6257,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For LP | Maturity 25JUN2026,18.27513,0.20615,72,False,"['0xdc9a5a2e3ce7ac881fc3b28c629c05d1617d1c56', '0x47dfd0c8eee949748c1d5cb6b695a4aba5fe7379']",,,16.26771,9573.83042,370901.66005,
Ethereum,pendle,USD(MIDASMAPOLLO),4454066,7.8664,0.12531,7.99171,['0x808507121b80c02388fad14726482e061b8da827'],9c1ba501-a54b-4823-967f-c08c3bfbc85a,3.27604,1.76003,-3.82454,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 53, 'binnedConfidence': 1}",For LP | Maturity 30APR2026,7.88206,0.16661,40,False,"['0x64b393288ab2a0fe7af6b73a9159493e60ab0605', '0xe1e22d55e23900f30599d8bee74a0801f09b4e58']",,,7.83348,0.0,0.0,
Ethereum,pendle,USD(MIDASMAPOLLO),4454066,7.59392,,7.59392,,5a381fd3-1c59-4148-8e0b-eaf43cfc1754,2e-05,0.71599,-2.28781,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 59, 'binnedConfidence': 1}",For buying PT-USD (Midas mAPOLLO)-30APR2026,8.34972,0.06683,40,False,['0x7cf9dec92ca9fd46f8d86e7798b72624bc116c05'],,,7.90062,,,
Ethereum,pendle,RSWETH,4124037,2.72093,0.00285,2.72378,['0x808507121b80c02388fad14726482e061b8da827'],f0e556e4-1b7c-407c-a875-be94977b2955,0.00522,-0.15556,0.1435,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 75, 'binnedConfidence': 3}",For LP | Maturity 25JUN2026,3.58886,0.07509,224,False,"['0xce789b855ff263d86cee15d8bf5eba9ba6e2d066', '0x7786729eee8b9d30fe7d91fdff23a0f1d0c615d9']",,,2.95146,0.0,0.0,
Ethereum,pendle,RSWETH,4124037,3.07273,,3.07273,,5d396bc0-3e69-4003-8b23-527d9329bdaa,0.01407,0.02086,-0.02717,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-rswETH-25JUN2026,2.9292,0.01081,224,False,['0xfae103dc9cf190ed75350761e95403b7b8afa6c0'],,,3.07712,,,
Ethereum,pendle,MSY,3489378,7.65673,0.38296,8.03969,['0x808507121b80c02388fad14726482e061b8da827'],452ae892-995b-4597-b75f-30c8a5d94e3b,-1.59171,-5.42926,-4.49341,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 59, 'binnedConfidence': 1}",For LP | Maturity 09APR2026,13.18333,0.07989,37,False,"['0xffa6dd8d30feb8759b84b4c9269fa888c6582c65', '0x659c663cdcc068b56e4a5afe262cb92baa0f3e19']",,,13.59996,0.0,4802.09858,
Ethereum,pendle,MSY,3489378,10.3608,,10.3608,,612220c3-1867-47bb-80d1-6ae8d6b0147a,3e-05,-1.91572,-1.92644,False,no,single,"{'predictedClass': 'Down', 'predictedProbability': 55.00000000000001, 'binnedConfidence': 1}",For buying PT-msY-09APR2026,11.6574,0.05215,37,False,['0x890a5122aa1da30fec4286de7904ff808f0bd74a'],,,11.4707,,,
Ethereum,pendle,COREUSDC,3396721,0.91768,0.02996,0.94764,['0x808507121b80c02388fad14726482e061b8da827'],5db0db4a-889f-49cd-9e95-57f169d42e73,-0.04588,-0.24977,-1.62171,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 93, 'binnedConfidence': 3}",For LP | Maturity 30APR2026,6.85881,0.20777,112,False,"['0x66de531bce23edeaaa7fcc9f67d83c888167ff88', '0x9aedb581076f0da719d05bc87e191b7f5cc2a246']",,,3.95071,0.0,0.0,
Ethereum,pendle,COREUSDC,3396721,6.57547,,6.57547,,7e67246a-c6a8-42bb-99b1-6db77c139be5,-0.15424,-0.80412,-0.38148,True,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 56.99999999999999, 'binnedConfidence': 1}",For buying PT-coreUSDC-30APR2026,9.04162,0.10177,112,False,['0xe9b725010a9e419412ed67d0fa5f3a5f40159d32'],,,7.21562,,,
Ethereum,pendle,DETH,3186531,3.68216,,3.68216,,a571ac18-ff00-4184-859f-3fc67c9d4d15,1e-05,-0.00241,,False,no,single,"{'predictedClass': 'Stable/Up', 'predictedProbability': 64, 'binnedConfidence': 2}",For buying PT-DETH-23APR2026,3.74319,0.00779,27,False,['0x871ab8e36cae9af35c6a3488b049965233deb7ed'],,,3.72342,,,
